"02:25:03.714 [main] controller.UserControllerTest.setup(UserControllerTest.kt:36)evel controller.UserControllerTest.setup(UserControllerTest.kt:36)ogger{36} - UserControllerTest.setupsg {}
"/>"02:25:03.716 [main] controller.UserControllerTest.test(UserControllerTest.kt:94)evel controller.UserControllerTest.test(UserControllerTest.kt:94)ogger{36} -  test sg {}
"/>INFO - 2019-08-12 - 02:25:59 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 02:25:59 - Log4J -  test  
INFO - 2019-08-12 - 09:33:14 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:33:14 - Log4J -  shouldAddedUser  
INFO - 2019-08-12 - 09:33:14 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:33:14 - Log4J -  test  
INFO - 2019-08-12 - 09:33:14 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:33:14 - Log4J - testServletGetUser() 
INFO - 2019-08-12 - 09:34:16 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:16 - Log4J -  shouldAddedUser  
INFO - 2019-08-12 - 09:34:16 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:16 - Log4J -  test  
INFO - 2019-08-12 - 09:34:16 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:16 - Log4J - testServletGetUser() 
INFO - 2019-08-12 - 09:34:27 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:27 - Log4J -  shouldAddedUser  
INFO - 2019-08-12 - 09:34:27 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:27 - Log4J -  test  
INFO - 2019-08-12 - 09:34:28 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:34:28 - Log4J - testServletGetUser() 
INFO - 2019-08-12 - 09:34:28 - Log4J - HV000001: Hibernate Validator 6.0.2.Final 
INFO - 2019-08-12 - 09:34:28 - Log4J - userNameIsEmpty 
INFO - 2019-08-12 - 09:34:28 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:34:28 - Log4J - userEmailIsEmpty 
INFO - 2019-08-12 - 09:34:28 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:34:28 - Log4J - userEmailNotValid 
INFO - 2019-08-12 - 09:34:28 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:34:28 - Log4J - userPasswordIsEmpty 
INFO - 2019-08-12 - 09:34:28 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:34:28 - Log4J - userPasswordIsNotValid 
INFO - 2019-08-12 - 09:34:28 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:35:19 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:35:19 - Log4J -  shouldAddedUser  
INFO - 2019-08-12 - 09:35:20 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:35:20 - Log4J -  test  
INFO - 2019-08-12 - 09:35:20 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 09:35:20 - Log4J - testServletGetUser() 
INFO - 2019-08-12 - 09:35:20 - Log4J - HV000001: Hibernate Validator 6.0.2.Final 
INFO - 2019-08-12 - 09:35:21 - Log4J - userNameIsEmpty 
INFO - 2019-08-12 - 09:35:21 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:35:21 - Log4J - userEmailIsEmpty 
INFO - 2019-08-12 - 09:35:21 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:35:21 - Log4J - userEmailNotValid 
INFO - 2019-08-12 - 09:35:21 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:35:21 - Log4J - userPasswordIsEmpty 
INFO - 2019-08-12 - 09:35:21 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 09:35:21 - Log4J - userPasswordIsNotValid 
INFO - 2019-08-12 - 09:35:21 - Log4J - getNameFirstProperty 
INFO - 2019-08-12 - 13:33:56 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 13:33:57 - Log4J -  shouldAddedUser  
INFO - 2019-08-12 - 13:33:57 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 13:33:57 - Log4J -  test  
INFO - 2019-08-12 - 13:33:57 - Log4J - UserControllerTest.setup 
INFO - 2019-08-12 - 13:33:57 - Log4J - testServletGetUser() 
INFO - 2019-08-12 - 13:37:53 - Log4J - UserControllerTest.setup 
